giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Salud,Colágeno hidrolizado,COMEX INTERNATIONAL INC,,,,México,México,México,Trading,Baja,0,Colágeno aislado,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Conjunto Lar,,,,CDMX,CDMX,México,Central Abastos,Baja,1,Colágeno,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Consultorios antiaging colágeno,,,,México,México,México,Profesional,Baja,0,Canal médico,regional
Salud,Colágeno hidrolizado,CP Kelco MX,,,,México,México,México,Hidrocoloides,Baja,0,Texturizantes,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Cyzone Belcorp,,,,México,México,México,MLM,Baja,0,Belleza,retail_ecom
Salud,Colágeno hidrolizado,Dax / Beauty supply,,,,México,México,México,Belleza,Baja,0,Algunos suplementos,retail_ecom
Salud,Colágeno hidrolizado,Delicias Especiales de México,,,,México,México,México,Proveedor,Baja,0,Colágeno,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Doctor Absolute,,,,Puebla,Puebla,México,Import alemán,Baja,1,Colágeno alemán puro,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Doctoralia marketplace wellness,,,,México,México,México,Marketplace salud,Baja,0,Canal,retail_ecom
Salud,Colágeno hidrolizado,DPS Mexicana,,,,CDMX,CDMX,México,Proveedor,Baja,1,Anáhuac,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,DSM-Firmenich MX,,,,México,México,México,Ingredientes,Baja,0,Nutrición,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Dymatize MX dist,,,,México,México,México,Distribuidor,Baja,1,Import,extra_marcas
Salud,Colágeno hidrolizado,Ewald Gelatine,,,,México,México,México,Industrial,Baja,0,Gelatina,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Farmacias del Dr. Ahorro wellness,,,,México,México,México,Cadena,Baja,0,Retail,retail_ecom
Salud,Colágeno hidrolizado,Fortigel sellers,,,,México,México,México,Ingrediente branded,Baja,0,Gelita articular,ingredients_sellers
Salud,Colágeno hidrolizado,Fuente Química,,,,Tonalá,Jalisco,México,Grado alimenticio,Baja,1,Colágeno alimenticio,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,G-Lyco Péptidos de Colágeno,,,,León,Guanajuato,México,Proveedor granel,Baja,1,Polvo 100% puro Santa Rosa,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Ganozulumm,,,,Guadalajara,Jalisco,México,Proveedor,Baja,1,Colágeno Oblatos,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Gelnex,,,,México,México,México,Industrial BR/MX,Baja,0,Colágeno,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,GNC Franchisees MX multi,https://www.gnc.com.mx/,,,México,México,México,Franquicias,Baja,1,Múltiples puntos,retail_ecom
Salud,Colágeno hidrolizado,Greka Colágeno y sus Derivados,,,,León,Guanajuato,México,Proveedor,Baja,1,Colágeno para perros y derivados,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Grupo Celeos,,,,Querétaro,Querétaro,México,Proveedor,Baja,1,Colágeno pescado,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Grupo Gavotte,,,,México,México,México,Proveedor,Baja,0,Colágeno,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,GSK Consumer MX,,,,México,México,México,Farmacéutica,Baja,0,Consumer,labs_pharma
Salud,Colágeno hidrolizado,Healthy People MX,,,,México,México,México,Marca,Baja,1,Suplementos,extra_marcas
Salud,Colágeno hidrolizado,Hormona,,,,México,México,México,Farmacéutica,Baja,0,OTC,labs_pharma
Salud,Colágeno hidrolizado,INGREDIA,,,,México,México,México,Ingredientes,Baja,0,Colágeno porcino puro,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Ingredion México,,,,México,México,México,Ingredientes,Baja,0,Food,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Isagenix MX,,,,México,México,México,MLM,Baja,0,Suplementos,retail_ecom
Salud,Colágeno hidrolizado,Italgelatine,,,,México,México,México,Industrial,Baja,0,Gelatina,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Italmex,,,,México,México,México,Farmacéutica,Baja,0,OTC,labs_pharma
Salud,Colágeno hidrolizado,Junca Gelatines,,,,México,México,México,Industrial,Baja,0,Gelatina,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Kenney & Ross,,,,México,México,México,Industrial marino,Baja,0,Colágeno pescado,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Kerry Ingredients MX,,,,México,México,México,Food tech,Baja,0,Proteínas,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Kolaheen Hidrolizado,,,,León,Guanajuato,México,Proveedor,Baja,1,San Isidro León,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,L'Bel Belcorp,,,,México,México,México,MLM,Baja,0,Belleza premium,retail_ecom
Salud,Colágeno hidrolizado,Laboratorio maquila León Gto colágeno,,,,León,Guanajuato,México,Maquila,Baja,1,Cluster grenetina/colágeno,labs_pharma
Salud,Colágeno hidrolizado,Laboratorios Best,,,,México,México,México,Farmacéutica,Baja,0,OTC,labs_pharma
Salud,Colágeno hidrolizado,Laboratorios Collins,,,,México,México,México,Farmacéutica,Baja,0,OTC,labs_pharma
Salud,Colágeno hidrolizado,Laboratorios Grossman,,,,México,México,México,Farmacéutica,Baja,0,OTC,labs_pharma
Salud,Colágeno hidrolizado,Laboratorios maquila suplementos CDMX cluster,,,,CDMX,CDMX,México,Maquila,Baja,0,Cluster Iztapalapa/Ecatepec,labs_pharma
Salud,Colágeno hidrolizado,Landsteiner Scientific,,,,México,México,México,Farmacéutica,Baja,0,Especialidad,labs_pharma
Salud,Colágeno hidrolizado,Lapi Gelatine,,,,México,México,México,Industrial,Baja,0,Gelatina,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,LINDY PHARMA,,,,Zapopan,Jalisco,México,Farmacéutica,Baja,1,Colágeno 500g polvo,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Lubrizol Life Science MX,,,,México,México,México,Ingredientes,Baja,0,Activos belleza,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Mainstays / Great Value colágeno retail,,,,México,México,México,Private label,Baja,0,Walmart canal,marcas_d2c
Salud,Colágeno hidrolizado,Malkhut Quimicos,,,,CDMX,CDMX,México,Químicos,Baja,1,General Anaya,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Maver,,,,México,México,México,Farmacéutica,Baja,0,OTC,labs_pharma
Salud,Colágeno hidrolizado,Mavi Farmacéutica,,,,México,México,México,Farmacéutica,Baja,0,OTC,labs_pharma
Salud,Colágeno hidrolizado,Mezclas y Desarrollo de Ingredientes,,,,Guadalajara,Jalisco,México,Ingredientes,Baja,1,Zona Industrial,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Miind Brands / Life360 seller,,,,México,México,México,Seller Amazon,Baja,0,Distribuye Life360,marcas_d2c
Salud,Colágeno hidrolizado,Mixup / iShop wellness no,,,,México,México,México,Retail,Baja,0,Limitado,retail_ecom
Salud,Colágeno hidrolizado,Multi colágeno type 1-5 sellers,,,,México,México,México,Seller formula,Baja,0,Marketplace,extra_marcas
Salud,Colágeno hidrolizado,Naticol colágeno marino,,,,México,México,México,Ingrediente branded,Baja,0,Marino,ingredients_sellers
Salud,Colágeno hidrolizado,Nature's Life Colágeno,,,,México,México,México,Import caps,Baja,0,Retail,marcas_d2c
Salud,Colágeno hidrolizado,Naturex Colágeno,,,,México,México,México,Marca farmacia,Baja,1,Tabletas farmacia emergencias,marcas_d2c
Salud,Colágeno hidrolizado,NBD PROTEINS,,,,León,Guanajuato,México,Proteínas,Baja,1,Extracto 40% y 90%,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Nitta Gelatin,,,,México,México,México,Industrial,Baja,0,Colágeno,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,NOVA ORGANICA,,,,León,Guanajuato,México,Orgánicos,Baja,1,Colágeno,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,NOVATEK FOODS,,,,Guadalajara,Jalisco,México,Ingredientes,Baja,1,Colágeno bovino francés / pescado,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Now Foods MX dist,,,,México,México,México,Distribuidor,Baja,1,Import VMS,extra_marcas
Salud,Colágeno hidrolizado,Nucleox,,,,San Luis Potosí,SLP,México,Proveedor,Baja,1,Colágeno,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Nutramerican,,,,México,México,México,Distribuidor,Baja,1,Import suplementos,extra_marcas
Salud,Colágeno hidrolizado,NUTRAZE SC DE RL DE CV,,,,Metepec,EdoMex,México,Proveedor,Baja,1,Colágeno Gelicar polvo,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Nutrición Centro ML full shops,,,,México,México,México,Seller pro,Baja,0,Marketplace,extra_marcas
Salud,Colágeno hidrolizado,Nutrición Deportiva MX tiendas,,,,México,México,México,Retail,Baja,0,Cluster gym,retail_ecom
Salud,Colágeno hidrolizado,Nutriólogos marca propia maquila,,,,México,México,México,Profesional,Baja,0,Canal B2B,regional
Salud,Colágeno hidrolizado,OPS extracciones,,,,México,México,México,Extractos,Baja,0,Colágeno,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Optimum Nutrition MX dist,,,,México,México,México,Distribuidor,Baja,1,Import gym,extra_marcas
Salud,Colágeno hidrolizado,P&G Health MX,,,,México,México,México,Consumer,Baja,0,VMS,labs_pharma
Salud,Colágeno hidrolizado,PB Leiner / Tessenderlo,,,,México,México,México,Industrial,Baja,0,Gelatina/colágeno,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Peptan sellers MX,,,,México,México,México,Ingrediente branded,Baja,0,Rousselot,ingredients_sellers
Salud,Colágeno hidrolizado,Peptidos MX marca,,,,México,México,México,Seller,Baja,0,Marketplace,ingredients_sellers
Salud,Colágeno hidrolizado,Pfizer Consumer MX,,,,México,México,México,Farmacéutica,Baja,0,Consumer,labs_pharma
Salud,Colágeno hidrolizado,Power Club suplementos,,,,México,México,México,Retail gym,Baja,0,Suplementos,retail_ecom
Salud,Colágeno hidrolizado,Prinova México,,,,México,México,México,Distribuidor ingredientes,Baja,1,Nutracéuticos,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Productos Naturistas El Herbolario,,,,México,México,México,Cadena/local,Baja,0,Naturista,retail_ecom
Salud,Colágeno hidrolizado,Protake,,,,México,México,México,Ingrediente,Baja,0,Colágeno,ingredients_sellers
Salud,Colágeno hidrolizado,Quifaest,,,,México,México,México,Farmacéutico,Baja,0,Colágeno cápsulas,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,RAHN México,,,,México,México,México,Cosmética/ingredientes,Baja,0,Activos,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Reckitt MX wellness,,,,México,México,México,Consumer,Baja,0,OTC,extra_marcas
Salud,Colágeno hidrolizado,Redsa,,,,CDMX,CDMX,México,Proveedor,Baja,1,Simón Bolívar,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Sanofi Consumer MX,,,,México,México,México,Consumer,Baja,0,OTC,extra_marcas
Salud,Colágeno hidrolizado,SAPRIQUIM,,,,CDMX,CDMX,México,Químicos,Baja,1,Extracto 40%/90%,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Scanpro,,,,México,México,México,Ingrediente,Baja,0,Colágeno,ingredients_sellers
Salud,Colágeno hidrolizado,Smart Nutrition MX,,,,México,México,México,Marca,Baja,1,Suplementos,extra_marcas
Salud,Colágeno hidrolizado,Solgar MX dist,,,,México,México,México,Distribuidor,Baja,1,Import premium,extra_marcas
Salud,Colágeno hidrolizado,Solugel,,,,México,México,México,Ingrediente,Baja,0,PB Leiner,ingredients_sellers
Salud,Colágeno hidrolizado,Spa + retail colágeno CDMX multi,,,,CDMX,CDMX,México,Spa retail,Baja,0,Canal belleza,regional
Salud,Colágeno hidrolizado,Sportium / suplementos gym,,,,México,México,México,Retail deportivo,Baja,0,Colágeno deportivo,retail_ecom
Salud,Colágeno hidrolizado,Spring Valley Colágeno,,,,México,México,México,Marca Walmart,Baja,1,Retail privado,marcas_d2c
Salud,Colágeno hidrolizado,Super Natural CDMX,,,,CDMX,CDMX,México,Tienda naturista,Baja,1,Retail local,retail_ecom
Salud,Colágeno hidrolizado,Suplementos Mat,,,,México,México,México,Seller ML,Baja,0,Colágeno fresa 1kg,marcas_d2c
Salud,Colágeno hidrolizado,Suplementos MX official stores,,,,México,México,México,Ecom multi,Baja,1,Marketplace,extra_marcas
Salud,Colágeno hidrolizado,Tecsa Escobedo,,,,Escobedo,NL,México,Industrial,Baja,1,Parque Nexxus,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Tendoforte sellers,,,,México,México,México,Ingrediente branded,Baja,0,Gelita,ingredients_sellers
Salud,Colágeno hidrolizado,Through Health / laboratorios,,,,México,México,México,Maquila,Baja,0,Suplementos,labs_pharma
Salud,Colágeno hidrolizado,Tienda Naturista Centro Histórico CDMX,,,,CDMX,CDMX,México,Retail local,Baja,1,Menudeo,regional
Salud,Colágeno hidrolizado,Tienda Naturista Coyoacán,,,,CDMX,CDMX,México,Retail local,Baja,1,Menudeo,regional
Salud,Colágeno hidrolizado,Tienda Naturista Del Valle,,,,CDMX,CDMX,México,Retail local,Baja,1,Menudeo,regional
Salud,Colágeno hidrolizado,Tienda Naturista Interlomas,,,,Huixquilucan,EdoMex,México,Retail local,Baja,1,Menudeo,regional
Salud,Colágeno hidrolizado,Tienda Naturista Polanco,,,,CDMX,CDMX,México,Retail local,Baja,1,Menudeo premium,regional
Salud,Colágeno hidrolizado,Tienda Naturista Providencia GDL,,,,Guadalajara,Jalisco,México,Retail local,Baja,1,Menudeo,regional
Salud,Colágeno hidrolizado,Tienda Naturista Roma Condesa,,,,CDMX,CDMX,México,Retail local,Baja,1,Menudeo premium,regional
Salud,Colágeno hidrolizado,Tienda Naturista San Pedro Garza,,,,San Pedro,NL,México,Retail local,Baja,1,Menudeo premium,regional
Salud,Colágeno hidrolizado,Tienda Naturista Santa Fe,,,,CDMX,CDMX,México,Retail local,Baja,1,Menudeo,regional
Salud,Colágeno hidrolizado,Tienda Naturista Satélite,,,,Naucalpan,EdoMex,México,Retail local,Baja,1,Menudeo,regional
Salud,Colágeno hidrolizado,Tienda Naturista Valle Oriente MTY,,,,Monterrey,NL,México,Retail local,Baja,1,Menudeo,regional
Salud,Colágeno hidrolizado,Tienda Naturista Zapopan Centro,,,,Zapopan,Jalisco,México,Retail local,Baja,1,Menudeo,regional
Salud,Colágeno hidrolizado,Tiendas naturistas Independencia CDMX cluster,,,,CDMX,CDMX,México,Cluster retail,Baja,0,Centro histórico,retail_ecom
Salud,Colágeno hidrolizado,Toroza Química,,,,León,Guanajuato,México,Químicos/agro,Baja,1,Colágeno agro industria,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Trivance Gelicart,,,,México,México,México,Marca,Baja,1,30 sobres 10g,marcas_d2c
Salud,Colágeno hidrolizado,Trobas Gelatine,,,,México,México,México,Industrial,Baja,0,Gelatina,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Ultimate Nutrition MX dist,,,,México,México,México,Distribuidor,Baja,1,Import,extra_marcas
Salud,Colágeno hidrolizado,Univar Solutions MX,,,,México,México,México,Distribuidor,Baja,1,Ingredientes,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Universal Nutrition MX,,,,México,México,México,Distribuidor,Baja,1,Import,extra_marcas
Salud,Colágeno hidrolizado,Verisol colágeno sellers,,,,México,México,México,Ingrediente branded,Baja,0,Gelita ingredient,ingredients_sellers
Salud,Colágeno hidrolizado,Weishardt,,,,México,México,México,Industrial,Baja,0,Colágeno marino,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Wellnex collagens,,,,México,México,México,Ingrediente,Baja,0,Nitta,ingredients_sellers
Salud,Colágeno hidrolizado,Yanbal MX,,,,México,México,México,MLM,Baja,0,Belleza,retail_ecom
